SECONDSSPENT,FORECAST,DATE
24864.0,,2022-08-16
648639.0,,2022-08-17
1535976.0,,2022-08-18
1253113.0,,2022-08-19
67002.0,,2022-08-20
0.0,,2022-08-21
1816870.0,,2022-08-22
1772212.0,,2022-08-23
1766058.0,,2022-08-24
1696949.0,,2022-08-25
1809566.0,,2022-08-26
839150.0,,2022-08-27
0.0,,2022-08-28
2203513.0,,2022-08-29
2412698.0,,2022-08-30
2645506.0,,2022-08-31
2182329.0,,2022-09-01
2132410.0,,2022-09-02
1135249.0,,2022-09-03
0.0,,2022-09-04
2948984.0,,2022-09-05
2536274.0,,2022-09-06
2578248.0,,2022-09-07
2789033.0,,2022-09-08
2697877.0,,2022-09-09
1145732.0,,2022-09-10
0.0,,2022-09-11
2605866.0,,2022-09-12
3144026.0,,2022-09-13
3213480.0,,2022-09-14
2666285.0,,2022-09-15
2301377.0,,2022-09-16
155271.0,,2022-09-17
0.0,,2022-09-18
2672418.0,,2022-09-19
2403952.0,,2022-09-20
2343975.0,,2022-09-21
2530398.0,,2022-09-22
2075660.0,,2022-09-23
795.0,,2022-09-24
0.0,,2022-09-25
2625590.0,,2022-09-26
2310970.0,,2022-09-27
2147913.0,,2022-09-28
2305728.0,,2022-09-29
0.0,,2022-09-30
621376.0,,2022-10-01
0.0,,2022-10-02
2834680.0,,2022-10-03
2454974.0,,2022-10-04
2341719.0,,2022-10-05
2414705.0,,2022-10-06
2306308.0,,2022-10-07
559815.0,,2022-10-08
0.0,,2022-10-09
2712754.0,,2022-10-10
2552054.0,,2022-10-11
2345207.0,,2022-10-12
2452360.0,,2022-10-13
3006732.0,,2022-10-14
683595.0,,2022-10-15
0.0,,2022-10-16
2430151.0,,2022-10-17
2658623.0,,2022-10-18
2511681.0,,2022-10-19
2541082.0,,2022-10-20
2130461.0,,2022-10-21
0.0,,2022-10-22
0.0,,2022-10-23
2500386.0,,2022-10-24
2411540.0,,2022-10-25
2450318.0,,2022-10-26
2361336.0,,2022-10-27
2019875.0,,2022-10-28
0.0,,2022-10-29
0.0,,2022-10-30
1855031.0,,2022-10-31
0.0,,2022-11-01
2264570.0,,2022-11-02
2681393.0,,2022-11-03
2376318.0,,2022-11-04
0.0,,2022-11-05
0.0,,2022-11-06
2381113.0,,2022-11-07
2431978.0,,2022-11-08
949904.0,,2022-11-09
2278598.0,,2022-11-10
0.0,,2022-11-11
0.0,,2022-11-12
0.0,,2022-11-13
3272069.0,,2022-11-14
2951189.0,,2022-11-15
3628515.0,,2022-11-16
2911377.0,,2022-11-17
2342916.0,,2022-11-18
0.0,,2022-11-19
0.0,,2022-11-20
2705890.0,,2022-11-21
2104587.0,,2022-11-22
1991349.0,,2022-11-23
2224708.0,,2022-11-24
1730352.0,,2022-11-25
0.0,,2022-11-26
0.0,,2022-11-27
2690374.0,,2022-11-28
2541278.0,,2022-11-29
2180110.0,,2022-11-30
1984971.0,,2022-12-01
1850387.0,,2022-12-02
0.0,,2022-12-03
0.0,,2022-12-04
2136175.0,,2022-12-05
2062662.0,,2022-12-06
2251745.0,,2022-12-07
1994313.0,,2022-12-08
1724767.0,,2022-12-09
0.0,,2022-12-10
0.0,,2022-12-11
2060686.0,,2022-12-12
2028477.0,,2022-12-13
2117237.0,,2022-12-14
2090354.0,,2022-12-15
1506273.0,,2022-12-16
0.0,,2022-12-17
0.0,,2022-12-18
1921887.0,,2022-12-19
2458293.0,,2022-12-20
1982115.0,,2022-12-21
1925822.0,,2022-12-22
2077866.0,,2022-12-23
357753.0,,2022-12-24
0.0,,2022-12-25
1871803.0,,2022-12-26
2144452.0,,2022-12-27
1817486.0,,2022-12-28
1635002.0,,2022-12-29
1402971.0,,2022-12-30
0.0,,2022-12-31
0.0,,2023-01-01
1898116.0,,2023-01-02
1648434.0,,2023-01-03
1521210.0,,2023-01-04
1225962.0,,2023-01-05
1488580.0,,2023-01-06
0.0,,2023-01-07
0.0,,2023-01-08
1248294.0,,2023-01-09
1118051.0,,2023-01-10
1126810.0,,2023-01-11
1117710.0,,2023-01-12
1082831.0,,2023-01-13
0.0,,2023-01-14
0.0,,2023-01-15
1776192.0,,2023-01-16
1634661.0,,2023-01-17
1477739.0,,2023-01-18
1146876.0,,2023-01-19
934538.0,,2023-01-20
0.0,,2023-01-21
0.0,,2023-01-22
1195039.0,,2023-01-23
1084678.0,,2023-01-24
1137930.0,,2023-01-25
1614168.0,,2023-01-26
1102695.0,,2023-01-27
0.0,,2023-01-28
0.0,,2023-01-29
1670482.0,,2023-01-30
981549.0,,2023-01-31
1324089.0,,2023-02-01
1444144.0,,2023-02-02
1117734.0,,2023-02-03
0.0,,2023-02-04
0.0,,2023-02-05
1613518.0,,2023-02-06
1229264.0,,2023-02-07
1402384.0,,2023-02-08
1615128.0,,2023-02-09
646451.0,,2023-02-10
0.0,,2023-02-11
0.0,,2023-02-12
1476641.0,,2023-02-13
1462322.0,,2023-02-14
1937344.0,,2023-02-15
1757031.0,,2023-02-16
1415047.0,,2023-02-17
0.0,,2023-02-18
0.0,,2023-02-19
1744403.0,,2023-02-20
1787731.0,,2023-02-21
1587857.0,,2023-02-22
1528159.0,,2023-02-23
1177266.0,,2023-02-24
0.0,,2023-02-25
0.0,,2023-02-26
1814740.0,,2023-02-27
1794647.0,,2023-02-28
1699661.0,,2023-03-01
1415714.0,,2023-03-02
1187482.0,,2023-03-03
0.0,,2023-03-04
0.0,,2023-03-05
1427623.0,,2023-03-06
1170581.0,,2023-03-07
1917093.0,,2023-03-08
1506858.0,,2023-03-09
1153725.0,,2023-03-10
0.0,,2023-03-11
0.0,,2023-03-12
1590434.0,,2023-03-13
1349727.0,,2023-03-14
1661903.0,,2023-03-15
1426462.0,,2023-03-16
1294804.0,,2023-03-17
0.0,,2023-03-18
0.0,,2023-03-19
1935518.0,,2023-03-20
1839246.0,,2023-03-21
1631997.0,,2023-03-22
1562705.0,,2023-03-23
643824.0,,2023-03-24
0.0,,2023-03-25
0.0,,2023-03-26
982306.0,,2023-03-27
1169880.0,,2023-03-28
1794094.0,,2023-03-29
1974554.0,,2023-03-30
0.0,,2023-03-31
0.0,,2023-04-01
0.0,,2023-04-02
2056112.0,,2023-04-03
1812646.0,,2023-04-04
1631124.0,,2023-04-05
1523821.0,,2023-04-06
1979699.0,,2023-04-07
0.0,,2023-04-08
0.0,,2023-04-09
0.0,,2023-04-10
1497549.0,,2023-04-11
1575238.0,,2023-04-12
1471610.0,,2023-04-13
1232105.0,,2023-04-14
606896.0,,2023-04-15
0.0,,2023-04-16
2128930.0,,2023-04-17
1533817.0,,2023-04-18
1591179.0,,2023-04-19
1683096.0,,2023-04-20
1269227.0,,2023-04-21
0.0,,2023-04-22
0.0,,2023-04-23
2135093.0,,2023-04-24
1654829.0,,2023-04-25
1786066.0,,2023-04-26
1706439.0,,2023-04-27
1810797.0,,2023-04-28
41479.0,,2023-04-29
0.0,,2023-04-30
0.0,,2023-05-01
2194689.0,,2023-05-02
2178143.0,,2023-05-03
1974723.0,,2023-05-04
1901291.0,,2023-05-05
0.0,,2023-05-06
0.0,,2023-05-07
2387607.0,,2023-05-08
1804439.0,,2023-05-09
1846482.0,,2023-05-10
1911116.0,,2023-05-11
1674096.0,,2023-05-12
764.0,,2023-05-13
0.0,,2023-05-14
2455986.0,,2023-05-15
1726954.0,,2023-05-16
1643700.0,,2023-05-17
0.0,,2023-05-18
1309004.0,,2023-05-19
0.0,,2023-05-20
0.0,,2023-05-21
2556471.0,,2023-05-22
1615007.0,,2023-05-23
1907056.0,,2023-05-24
1759016.0,,2023-05-25
1618323.0,,2023-05-26
0.0,,2023-05-27
0.0,,2023-05-28
0.0,,2023-05-29
2070191.0,,2023-05-30
1754025.0,,2023-05-31
1941086.0,,2023-06-01
1688014.0,,2023-06-02
0.0,,2023-06-03
0.0,,2023-06-04
2158609.0,,2023-06-05
2206246.0,,2023-06-06
2138692.0,,2023-06-07
2061746.0,,2023-06-08
1897470.0,,2023-06-09
198969.0,,2023-06-10
0.0,,2023-06-11
2007710.0,,2023-06-12
1706451.0,,2023-06-13
1797904.0,,2023-06-14
1597426.0,,2023-06-15
1282675.0,,2023-06-16
0.0,,2023-06-17
0.0,,2023-06-18
1683520.0,,2023-06-19
1760754.0,,2023-06-20
1525859.0,,2023-06-21
1832562.0,,2023-06-22
1552663.0,,2023-06-23
0.0,,2023-06-24
0.0,,2023-06-25
1755645.0,,2023-06-26
1461530.0,,2023-06-27
1831552.0,,2023-06-28
1395083.0,,2023-06-29
0.0,,2023-06-30
0.0,,2023-07-01
0.0,,2023-07-02
833449.0,,2023-07-03
1020230.0,,2023-07-04
898661.0,,2023-07-05
838718.0,,2023-07-06
664364.0,,2023-07-07
0.0,,2023-07-08
0.0,,2023-07-09
1129524.0,,2023-07-10
1134578.0,,2023-07-11
992222.0,,2023-07-12
872756.0,,2023-07-13
544651.0,,2023-07-14
0.0,,2023-07-15
0.0,,2023-07-16
809239.0,,2023-07-17
1117053.0,,2023-07-18
1212257.0,,2023-07-19
1212211.0,,2023-07-20
0.0,,2023-07-21
0.0,,2023-07-22
0.0,,2023-07-23
884921.0,,2023-07-24
1514598.0,,2023-07-25
1162448.0,,2023-07-26
1170973.0,,2023-07-27
1233137.0,,2023-07-28
0.0,,2023-07-29
0.0,,2023-07-30
921154.0,,2023-07-31
1113215.0,,2023-08-01
1103799.0,,2023-08-02
1073300.0,,2023-08-03
961447.0,,2023-08-04
0.0,,2023-08-05
0.0,,2023-08-06
1371141.0,,2023-08-07
977579.0,,2023-08-08
753463.0,,2023-08-09
466652.0,,2023-08-10
560227.0,,2023-08-11
0.0,,2023-08-12
0.0,,2023-08-13
441602.0,,2023-08-14
0.0,,2023-08-15
1368419.0,,2023-08-16
1057736.0,,2023-08-17
868794.0,,2023-08-18
0.0,,2023-08-19
0.0,,2023-08-20
1247115.0,,2023-08-21
1073066.0,,2023-08-22
961466.0,,2023-08-23
1108381.0,,2023-08-24
642270.0,,2023-08-25
0.0,,2023-08-26
0.0,,2023-08-27
877605.0,,2023-08-28
876346.0,,2023-08-29
939992.0,,2023-08-30
1072485.0,,2023-08-31
818886.0,,2023-09-01
42183.0,,2023-09-02
0.0,,2023-09-03
954562.0,,2023-09-04
1011177.0,,2023-09-05
1034343.0,,2023-09-06
1188909.0,,2023-09-07
924883.0,,2023-09-08
0.0,,2023-09-09
0.0,,2023-09-10
1207291.0,,2023-09-11
911369.0,,2023-09-12
848544.0,,2023-09-13
1053873.0,,2023-09-14
958335.0,,2023-09-15
0.0,,2023-09-16
0.0,,2023-09-17
1313324.0,,2023-09-18
1300838.0,,2023-09-19
1558018.0,,2023-09-20
1281051.0,,2023-09-21
1229651.0,,2023-09-22
227385.0,708360.0972741,2023-09-23
0.0,708480.6768539784,2023-09-24
1171721.0,1416243.4062621817,2023-09-25
1249771.0,1347906.0904420875,2023-09-26
1257222.0,1421688.6576219145,2023-09-27
1339688.0,1372047.8223496177,2023-09-28
1381580.0,1333889.1865447662,2023-09-29
,949185.3400429536,2023-09-30
,949226.3131050738,2023-10-01
,1474181.6140657258,2023-10-02
,1448256.1451529835,2023-10-03
,1529030.9292300637,2023-10-04
,1452173.803700237,2023-10-05
,1428074.5795929735,2023-10-06
